"isocode","isoabbr","state_province","iso_state","date","ppi.all.tot","ppi.all.nat","ppi.all.reg","borders.all.tot","borders.all.nat","borders.all.reg","borders.air_bord.tot","borders.air_bord.nat","borders.air_bord.reg","borders.land_bord.tot","borders.land_bord.nat","borders.land_bord.reg","borders.sea_bord.tot","borders.sea_bord.nat","borders.sea_bord.reg","emerg.all.tot","emerg.all.nat","emerg.all.reg","ind_locat.all.tot","ind_locat.all.nat","ind_locat.all.reg","ind_locat.ind_mob.tot","ind_locat.ind_mob.nat","ind_locat.ind_mob.reg","ind_locat.med_stay.tot","ind_locat.med_stay.nat","ind_locat.med_stay.reg","ind_locat.publ_tr.tot","ind_locat.publ_tr.nat","ind_locat.publ_tr.reg","masks.all.tot","masks.all.nat","masks.all.reg","places.all.tot","places.all.nat","places.all.reg","places.gov_offs.tot","places.gov_offs.nat","places.gov_offs.reg","places.ne_busn.tot","places.ne_busn.nat","places.ne_busn.reg","places.restrts.tot","places.restrts.nat","places.restrts.reg","places.venues.tot","places.venues.nat","places.venues.reg","places.wfh.tot","places.wfh.nat","places.wfh.reg","soc_and_schls.all.tot","soc_and_schls.all.nat","soc_and_schls.all.reg","soc_and_schls.schools.tot","soc_and_schls.schools.nat","soc_and_schls.schools.reg","soc_and_schls.soc_gath.tot","soc_and_schls.soc_gath.nat","soc_and_schls.soc_gath.reg"
246,"FI","Keski-Suomi","FI-08",2020-04-08,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Kymenlaakso","FI-09",2020-04-08,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Lappi","FI-10",2020-04-08,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Pirkanmaa","FI-11",2020-04-08,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Pohjanmaa","FI-12",2020-04-08,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Pohjois-Karjala","FI-13",2020-04-08,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Pohjois-Pohjanmaa","FI-14",2020-04-08,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Pohjois-Savo","FI-15",2020-04-08,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Paijat-Hame","FI-16",2020-04-08,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Satakunta","FI-17",2020-04-08,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Uusimaa","FI-18",2020-04-08,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Varsinais-Suomi","FI-19",2020-04-08,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Landskapet Aland","FI-01",2020-04-09,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Etela-Karjala","FI-02",2020-04-09,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Etela-Pohjanmaa","FI-03",2020-04-09,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Etela-Savo","FI-04",2020-04-09,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Kainuu","FI-05",2020-04-09,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Kanta-Hame","FI-06",2020-04-09,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Keski-Pohjanmaa","FI-07",2020-04-09,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Keski-Suomi","FI-08",2020-04-09,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Kymenlaakso","FI-09",2020-04-09,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Lappi","FI-10",2020-04-09,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Pirkanmaa","FI-11",2020-04-09,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Pohjanmaa","FI-12",2020-04-09,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Pohjois-Karjala","FI-13",2020-04-09,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Pohjois-Pohjanmaa","FI-14",2020-04-09,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Pohjois-Savo","FI-15",2020-04-09,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Paijat-Hame","FI-16",2020-04-09,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Satakunta","FI-17",2020-04-09,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Uusimaa","FI-18",2020-04-09,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Varsinais-Suomi","FI-19",2020-04-09,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Landskapet Aland","FI-01",2020-04-10,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Etela-Karjala","FI-02",2020-04-10,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Etela-Pohjanmaa","FI-03",2020-04-10,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Etela-Savo","FI-04",2020-04-10,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Kainuu","FI-05",2020-04-10,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Kanta-Hame","FI-06",2020-04-10,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Keski-Pohjanmaa","FI-07",2020-04-10,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Keski-Suomi","FI-08",2020-04-10,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Kymenlaakso","FI-09",2020-04-10,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Lappi","FI-10",2020-04-10,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Pirkanmaa","FI-11",2020-04-10,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Pohjanmaa","FI-12",2020-04-10,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Pohjois-Karjala","FI-13",2020-04-10,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Pohjois-Pohjanmaa","FI-14",2020-04-10,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Pohjois-Savo","FI-15",2020-04-10,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Paijat-Hame","FI-16",2020-04-10,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Satakunta","FI-17",2020-04-10,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Uusimaa","FI-18",2020-04-10,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Varsinais-Suomi","FI-19",2020-04-10,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Landskapet Aland","FI-01",2020-04-11,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Etela-Karjala","FI-02",2020-04-11,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Etela-Pohjanmaa","FI-03",2020-04-11,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Etela-Savo","FI-04",2020-04-11,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Kainuu","FI-05",2020-04-11,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Kanta-Hame","FI-06",2020-04-11,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Keski-Pohjanmaa","FI-07",2020-04-11,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Keski-Suomi","FI-08",2020-04-11,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Kymenlaakso","FI-09",2020-04-11,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Lappi","FI-10",2020-04-11,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Pirkanmaa","FI-11",2020-04-11,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Pohjanmaa","FI-12",2020-04-11,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Pohjois-Karjala","FI-13",2020-04-11,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Pohjois-Pohjanmaa","FI-14",2020-04-11,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Pohjois-Savo","FI-15",2020-04-11,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Paijat-Hame","FI-16",2020-04-11,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Satakunta","FI-17",2020-04-11,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Uusimaa","FI-18",2020-04-11,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Varsinais-Suomi","FI-19",2020-04-11,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Landskapet Aland","FI-01",2020-04-12,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Etela-Karjala","FI-02",2020-04-12,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Etela-Pohjanmaa","FI-03",2020-04-12,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Etela-Savo","FI-04",2020-04-12,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Kainuu","FI-05",2020-04-12,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Kanta-Hame","FI-06",2020-04-12,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Keski-Pohjanmaa","FI-07",2020-04-12,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Keski-Suomi","FI-08",2020-04-12,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Kymenlaakso","FI-09",2020-04-12,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Lappi","FI-10",2020-04-12,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Pirkanmaa","FI-11",2020-04-12,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
246,"FI","Pohjanmaa","FI-12",2020-04-12,0.75,0.75,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.3,0.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.875,0.875,0,1,1,0,0.75,0.75,0
